"施設ID","作業用番号","作業内容フラグ_区分","作業内容フラグ_内訳","作業内容フラグ_内訳補足","施設名","施設名_ﾌﾘｶﾞﾅ","路線名","道路種別","架設年度_西暦","架設年度_推測","供用年度_西暦","橋梁種別","橋長(m)","径間数","幅員(m)","上部構造形式","上部工（使用材料）","上部工（構造形式）","下部構造形式","基礎形式","溝橋(ｶﾙﾊﾞｰﾄ)","道路管理者_区分","道路管理者_名称","道路管理者_管理事務所名","行政区域_都道府県名","行政区域_市区町村名","起点側位置_緯度","起点側位置_経度","距離標(KP)","上り・下り線","当該道路_緊急輸送路","道路橋下状況_道路_緊急輸送路","道路橋下状況_道路_道路管理者","道路橋下状況_鉄道","代替路の有無","自専道/一般道","高規格幹線道路区分","占用物件(名称)","施設諸元_備考","点検記録_点検実施年度","点検記録_点検実施年月","点検記録_判定区分","過去の点検表記録様式ファイル名","点検表記録様式ファイル名","所見等(任意)","長寿命化修繕計画","点検・修繕_備考","確認書記載_点検・修繕計画_2019","確認書記載_点検・修繕計画_2020","確認書記載_点検・修繕計画_2021","確認書記載_点検・修繕計画_2022","確認書記載_点検・修繕計画_2023","確認書記載_点検・修繕計画_2024","確認書記載_点検・修繕計画_2025","確認書記載_点検・修繕計画_2026","確認書記載_点検・修繕計画_2027","確認書記載_点検・修繕計画_2028","確認書記載_点検方法","確認書記載_修繕方法","確認書記載_点検済分類","確認書記載_跨線部判定結果","確認書記載_修繕済分類","確認書記載_跨線部再判定結果","確認書に点検時期の記載がない理由","跨線対象_鉄道_JR_1","跨線対象_鉄道_JR_2","跨線対象_鉄道_JR_3","跨線対象_鉄道_JR_4","跨線対象_鉄道_大手民鉄_1","跨線対象_鉄道_大手民鉄_2","跨線対象_鉄道_大手民鉄_3","跨線対象_鉄道_準大手_1","跨線対象_鉄道_準大手_2","跨線対象_鉄道_公営_1","跨線対象_鉄道_公営_2","跨線対象_鉄道_中小民鉄_1","跨線対象_鉄道_中小民鉄_2","跨線対象_鉄道_中小民鉄_3","跨線対象_鉄道_中小民鉄転換鉄道等_1","跨線対象_鉄道_中小民鉄転換鉄道等_2","跨線対象_鉄道_貨物鉄道(JR以外）_1","跨線対象_鉄道_貨物鉄道(JR以外）_2","跨線対象_鉄道_モノレール_1","跨線対象_鉄道_モノレール_2","跨線対象_鉄道_新交通システム_1","跨線対象_鉄道_新交通システム_2","跨線対象_鉄道_鋼索鉄道_1","跨線対象_鉄道_鋼索鉄道_2","跨線対象_鉄道_無軌条電車_1","跨線対象_鉄道_無軌条電車_2","跨線対象_軌道_公営_1","跨線対象_軌道_公営_2","跨線対象_軌道_中小民鉄_1","跨線対象_軌道_中小民鉄_2","跨線対象_軌道_モノレール_1","跨線対象_軌道_モノレール_2","跨線対象_軌道_新交通システム_1","跨線対象_軌道_新交通システム_2","跨線対象_その他","通行規制_規制内容","通行規制_規制内容_詳細","通行規制_新規追加","通行規制_規制内容変更","通行規制_開始年度","通行規制_規制までの橋齢","規制解除（予定）年度","規制原因_自由入力","通行規制_原因コード","通行規制_原因_具体的内容の分類","通行規制_原因_詳細","補修等実施状況","補修等実施予定時期","補修等実施予定年月","撤去措置区分","新設設計時の適用基準","橋の重要度","耐震補強の状況","性能３を満たすための対策状況","性能３を満たすための対策完了目標年度","性能２を満たすための対策状況","性能２を満たすための対策完了目標年度","橋種_一般橋","橋種_特殊橋_トラス橋","橋種_特殊橋_吊り橋","橋種_特殊橋_斜張橋","橋種_特殊橋_その他特殊橋梁","対策メニュー_基礎（フーチング含む）","対策メニュー_橋台","対策メニュー_橋脚","対策メニュー_橋脚_うち段落とし部","縁対策メニュー_縁端拡幅","対策メニュー_落橋防止構造","対策メニュー_変位制限構造（横変位拘束構造）","対策メニュー_支承交換","対策メニュー_段差防止構造","対策メニュー_上部工補強","対策メニュー_その他","図面の有無","基礎の耐震補強_適用基準・図面類","基礎の耐震補強_基礎の照査結果","基礎の耐震補強_液状化エリア","基礎の耐震補強_簡易判定","単径間の橋梁_種類","単径間の橋梁_照査の有無","ロッキング橋脚を有する橋梁","パイルベント橋脚を有する橋梁","全国地震予想地図での発生確率","跨道橋_用途種別","跨道橋の状況_現在未使用","跨道橋の状況_今後の利用","跨道橋の状況_撤去計画の有無","跨道橋の状況_撤去計画無しの理由","跨道橋下の管理者_会社名","跨道橋下の管理者_支社名","跨道橋下の管理者_事務所名","跨道橋下の路線情報_路線区別","跨道橋下の路線情報_高速道路等名称","位置情報_IC間_自","位置情報_IC間_至","位置情報_KP","跨線橋下管理者との管理協定の締結","管理協定_無しの理由","点検実施状況","点検を委託で実施","点検方法","跨線橋下管理者との共有","点検結果_最新の点検時期","点検結果_5年以内の対策","修繕の内容_はく落対策_実施状況","修繕の内容_壁高欄補修_実施状況","修繕の内容_コンクリたたき落とし_実施状況","修繕の内容_塗替塗装_実施状況","修繕の内容_クラック補修_実施状況","修繕の内容_架替_実施状況","修繕の内容_その他_具体的内容","修繕の内容_その他_実施状況","修繕の内容_未実施の理由","耐震補強_実施状況","耐震未照査_該当","耐震未照査_照査実施計画年度","未移管跨線橋_該当","未移管跨線橋_区分","要請（公表）するべきもの","本来管理者_区分","本来管理者名（移管予定先）","移管後_道路法上の道路_該当","移管後_用途種別","移管状況","移管時期"
"36.10869,137.89919","BR0-202151-00001",,,,"沓沢橋","(ｸﾂｻﾞﾜﾊﾞｼ)","市道（１級）沓沢線","市町村道","1984",,"1984","橋","14.5","1","4.0","⑧Ｈ型鋼橋（継手なし）_Ｈ形鋼（合成）","鋼橋","桁橋(H桁(合成))","重力式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.10869","137.89919","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2023","202310","Ⅱ","市道沓沢線_沓沢橋.xlsx","市道沓沢線_沓沢橋.xlsx","主桁に断面欠損（板厚減少）がみられる。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35.97748,137.81926","BR0-202151-00002",,,,"３号橋","(ｻﾝｺﾞｳｷｮｳ)","市道橋戸線","市町村道","1975",,"1975","橋","15.0","1","4.0","④ＰＣ橋_ポステン中空床版","PC橋","床版橋","重力式橋台","直接基礎",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","35.97748","137.81926","無し","上下線","指定無し","×",,"無し","無","一般道",,"上水道",,"2023","202312","Ⅱ","市道橋戸線_3号橋.xlsx","市道橋戸線_3号橋.xlsx","主桁にひびわれがみられる。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図あり","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","斜橋・曲線橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35.98939,137.84661","BR0-202151-00003",,,,"楡沢橋","(ﾆﾚｻﾜﾊﾞｼ)","市道長瀬３号線","市町村道","2004",,"2004","橋","15.0","1","13.4","④ＰＣ橋_プレテン中空床版","PC橋","床版橋","逆Ｔ式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","35.98939","137.84661","無し","上下線","指定無し","×",,"無し","有","一般道",,"上水道",,"2021","202105","Ⅱ",,"長瀬3号線_楡沢橋.xlsx","損傷が見られるが、橋梁の機能低下となる損傷は見られないため、経過措置とする。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H14道示","Ａ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図あり","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.04870,137.97241","BR0-202151-00004",,,,"蛍橋","(ﾎﾀﾙﾊﾞｼ)","市道（２級）相吉日向線","市町村道","1979",,"1979","橋","13.5","1","5.0","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","逆Ｔ式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.04870","137.97241","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2023","202308","Ⅱ","市道相吉日向線_蛍橋.xlsx","市道相吉日向線_蛍橋.xlsx","主桁･橋台に豆板、舗装にひびわれが生じている。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.12075,137.90394","BR0-202151-00005",,,,"釜口橋","(ｶﾏｸﾞﾁﾊﾞｼ)","市道新田原口線","市町村道","1977",,"1977","橋","12.5","1","4.0","④ＰＣ橋_プレテン中空床版","PC橋","床版橋","重力式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.12075","137.90394","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2020","202103","Ⅲ","新田原口線_釜口橋.xlsx","新田原口線_釜口橋.xlsx","主桁にひびわれが生じている。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.12960,137.94877","BR0-202151-00006",,,,"郷原跨線橋","(ｺﾞｳﾊﾞﾗｺｾﾝｷｮｳ)","市道（１級）南熊井郷原線","市町村道","2001",,"2001","高架橋","13.4","1","9.3","④ＰＣ橋_プレテン中空床版","PC橋","床版橋","逆Ｔ式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.12960","137.94877","無し","上下線","指定無し","×",,"その他鉄道","有","一般道",,,,"2024","202501","Ⅲ","南熊井郷原線_郷原跨線橋.xlsx","市道南熊井郷原線_郷原跨線橋.xlsx","（１）部材毎の評価
主 　桁：Ⅰ
横 　桁：Ⅰ
床　 版：Ⅱ　遊離石灰→漏水
下部工：Ⅲ　ひび割れ・遊離石灰溶出→乾燥収縮・漏水
支承部：Ⅰ
その他：Ⅱ　舗装の異常（ひびわれ）→経年劣化

（２）損傷等の状況
下部工に著しい亀甲状ひびわれ，遊離石灰溶出（補修設計済み）。

（３）技術的な評価結果からの特筆すべき事項
・橋台がL2地震（大地震）に対する設計がされておらず，耐震補強も未実施のため，地震時に影響を受ける可能性がある。
・支承がタイプＡであり、地震時には破損する恐れがあるが桁かかり長は確保されている。
　　（必要桁かかり長≒0.82m＜現桁かかり長0.86m）","○",,,,,,,,,,,,"○",,"全体","Ⅱ",,,,"東日本旅客鉄道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H8道示（復旧仕様含む）","Ｂ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図あり","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"26%以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.09634,137.88872","BR0-202151-00007",,,,"欠ノ沢橋","(ｶｹﾉｻﾜﾊﾞｼ)","市道（２級）長崎奥平線","市町村道","1959",,"1959","橋","12.5","1","4.2","③ＲＣ橋_ＲＣ　Ｔ桁","RC橋","桁橋(T桁)","重力式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.09634","137.88872","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2022","202212","Ⅱ","市道長崎奥平線_欠ノ沢橋.xlsx","市道 長崎奥平線_欠ノ沢橋.xlsx","主桁にうき・遊離石灰、横桁、地覆にうき、床版にうき・遊離石灰・鉄筋露出、下部構造にひびわれ・遊離石灰等が生じている。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.08680,137.88285","BR0-202151-00008",,,,"金山橋","(ｶﾅﾔﾏﾊﾞｼ)","市道（２級）長崎奥平線","市町村道","1984",,"1984","橋","12.7","1","4.6","④ＰＣ橋_プレテン中空床版","PC橋","床版橋","逆Ｔ式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.08680","137.88285","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2022","202212","Ⅰ","市道長崎奥平線_金山橋.xlsx","市道 長崎奥平線_金山橋.xlsx","構造物の機能に支障が生じていない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.10071,137.98021","BR0-202151-00009",,,,"鍋中橋","(ﾅﾍﾞﾅｶﾊﾞｼ)","市道（２級）旧三州街道線","市町村道","1988",,"1988","橋","12.5","1","6.0","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.10071","137.98021","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2020","202012","Ⅰ","市道旧三州街道線_鍋中橋.xlsx","旧三州街道線_鍋中橋.xlsx","構造に影響を及ぼす損傷は生じていない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.09788,137.97601","BR0-202151-00010",,,,"宗張橋","(ﾑﾅﾊﾞﾘﾊﾞｼ)","市道（１級）町区上西条線","市町村道","1988",,"1988","橋","13.0","1","7.5","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","逆Ｔ式橋台","その他",,"市区町村","塩尻市","塩尻市","長野県","塩尻市","36.09788","137.97601","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2020","202103","Ⅱ",,"町区上西条線_宗張橋.xlsx","主桁にひびわれが生じている。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
