"施設ID","作業用番号","作業内容フラグ_区分","作業内容フラグ_内訳","作業内容フラグ_内訳補足","施設名","施設名_ﾌﾘｶﾞﾅ","路線名","道路種別","架設年度_西暦","架設年度_推測","供用年度_西暦","橋梁種別","橋長(m)","径間数","幅員(m)","上部構造形式","上部工（使用材料）","上部工（構造形式）","下部構造形式","基礎形式","溝橋(ｶﾙﾊﾞｰﾄ)","道路管理者_区分","道路管理者_名称","道路管理者_管理事務所名","行政区域_都道府県名","行政区域_市区町村名","起点側位置_緯度","起点側位置_経度","距離標(KP)","上り・下り線","当該道路_緊急輸送路","道路橋下状況_道路_緊急輸送路","道路橋下状況_道路_道路管理者","道路橋下状況_鉄道","代替路の有無","自専道/一般道","高規格幹線道路区分","占用物件(名称)","施設諸元_備考","点検記録_点検実施年度","点検記録_点検実施年月","点検記録_判定区分","過去の点検表記録様式ファイル名","点検表記録様式ファイル名","所見等(任意)","長寿命化修繕計画","点検・修繕_備考","確認書記載_点検・修繕計画_2019","確認書記載_点検・修繕計画_2020","確認書記載_点検・修繕計画_2021","確認書記載_点検・修繕計画_2022","確認書記載_点検・修繕計画_2023","確認書記載_点検・修繕計画_2024","確認書記載_点検・修繕計画_2025","確認書記載_点検・修繕計画_2026","確認書記載_点検・修繕計画_2027","確認書記載_点検・修繕計画_2028","確認書記載_点検方法","確認書記載_修繕方法","確認書記載_点検済分類","確認書記載_跨線部判定結果","確認書記載_修繕済分類","確認書記載_跨線部再判定結果","確認書に点検時期の記載がない理由","跨線対象_鉄道_JR_1","跨線対象_鉄道_JR_2","跨線対象_鉄道_JR_3","跨線対象_鉄道_JR_4","跨線対象_鉄道_大手民鉄_1","跨線対象_鉄道_大手民鉄_2","跨線対象_鉄道_大手民鉄_3","跨線対象_鉄道_準大手_1","跨線対象_鉄道_準大手_2","跨線対象_鉄道_公営_1","跨線対象_鉄道_公営_2","跨線対象_鉄道_中小民鉄_1","跨線対象_鉄道_中小民鉄_2","跨線対象_鉄道_中小民鉄_3","跨線対象_鉄道_中小民鉄転換鉄道等_1","跨線対象_鉄道_中小民鉄転換鉄道等_2","跨線対象_鉄道_貨物鉄道(JR以外）_1","跨線対象_鉄道_貨物鉄道(JR以外）_2","跨線対象_鉄道_モノレール_1","跨線対象_鉄道_モノレール_2","跨線対象_鉄道_新交通システム_1","跨線対象_鉄道_新交通システム_2","跨線対象_鉄道_鋼索鉄道_1","跨線対象_鉄道_鋼索鉄道_2","跨線対象_鉄道_無軌条電車_1","跨線対象_鉄道_無軌条電車_2","跨線対象_軌道_公営_1","跨線対象_軌道_公営_2","跨線対象_軌道_中小民鉄_1","跨線対象_軌道_中小民鉄_2","跨線対象_軌道_モノレール_1","跨線対象_軌道_モノレール_2","跨線対象_軌道_新交通システム_1","跨線対象_軌道_新交通システム_2","跨線対象_その他","通行規制_規制内容","通行規制_規制内容_詳細","通行規制_新規追加","通行規制_規制内容変更","通行規制_開始年度","通行規制_規制までの橋齢","規制解除（予定）年度","規制原因_自由入力","通行規制_原因コード","通行規制_原因_具体的内容の分類","通行規制_原因_詳細","補修等実施状況","補修等実施予定時期","補修等実施予定年月","撤去措置区分","新設設計時の適用基準","橋の重要度","耐震補強の状況","性能３を満たすための対策状況","性能３を満たすための対策完了目標年度","性能２を満たすための対策状況","性能２を満たすための対策完了目標年度","橋種_一般橋","橋種_特殊橋_トラス橋","橋種_特殊橋_吊り橋","橋種_特殊橋_斜張橋","橋種_特殊橋_その他特殊橋梁","対策メニュー_基礎（フーチング含む）","対策メニュー_橋台","対策メニュー_橋脚","対策メニュー_橋脚_うち段落とし部","縁対策メニュー_縁端拡幅","対策メニュー_落橋防止構造","対策メニュー_変位制限構造（横変位拘束構造）","対策メニュー_支承交換","対策メニュー_段差防止構造","対策メニュー_上部工補強","対策メニュー_その他","図面の有無","基礎の耐震補強_適用基準・図面類","基礎の耐震補強_基礎の照査結果","基礎の耐震補強_液状化エリア","基礎の耐震補強_簡易判定","単径間の橋梁_種類","単径間の橋梁_照査の有無","ロッキング橋脚を有する橋梁","パイルベント橋脚を有する橋梁","全国地震予想地図での発生確率","跨道橋_用途種別","跨道橋の状況_現在未使用","跨道橋の状況_今後の利用","跨道橋の状況_撤去計画の有無","跨道橋の状況_撤去計画無しの理由","跨道橋下の管理者_会社名","跨道橋下の管理者_支社名","跨道橋下の管理者_事務所名","跨道橋下の路線情報_路線区別","跨道橋下の路線情報_高速道路等名称","位置情報_IC間_自","位置情報_IC間_至","位置情報_KP","跨線橋下管理者との管理協定の締結","管理協定_無しの理由","点検実施状況","点検を委託で実施","点検方法","跨線橋下管理者との共有","点検結果_最新の点検時期","点検結果_5年以内の対策","修繕の内容_はく落対策_実施状況","修繕の内容_壁高欄補修_実施状況","修繕の内容_コンクリたたき落とし_実施状況","修繕の内容_塗替塗装_実施状況","修繕の内容_クラック補修_実施状況","修繕の内容_架替_実施状況","修繕の内容_その他_具体的内容","修繕の内容_その他_実施状況","修繕の内容_未実施の理由","耐震補強_実施状況","耐震未照査_該当","耐震未照査_照査実施計画年度","未移管跨線橋_該当","未移管跨線橋_区分","要請（公表）するべきもの","本来管理者_区分","本来管理者名（移管予定先）","移管後_道路法上の道路_該当","移管後_用途種別","移管状況","移管時期"
"36.16500,137.87778","BR0-204501-00001",,,,"山形１号橋","(ﾔﾏｶﾞﾀ1ｺﾞｳｷｮｳ)","村道（１級）２号線","市町村道","1983",,"1983","橋","3.3","1","11.0","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.16500","137.87778","無し","上下線","指定無し","×","市区町村","無し","有","一般道","該当しない","無し","2016年に職員で点検を実施。判定区分をⅡとした。2021年に株式会社エースに点検してもらったところ、技術者判断でⅡ→Ⅰに変更となった。そのため修繕工事を行っていない。","2021","202108","Ⅰ",,"01村道 1級2号線_山形1号橋.xlsx","全体的に健全な状態を保持している。ただし、桁下に遊離石灰やひびわれが確認されるため、経過観察が必要である。※主桁の漏水・遊離石灰については、漏水痕であり、部材に損傷はないため、技術者判断Ⅱ→Ⅰに変更。","○","2016年に職員で点検を実施。判定区分をⅡとした。2021年に株式会社エースに点検してもらったところ、技術者判断でⅡ→Ⅰに変更となった。そのため修繕工事を行っていない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.16389,137.87417","BR0-204501-00002",,,,"山形２号線","(ﾔﾏｶﾞﾀ2ｺﾞｳｷｮｳ)","村道（１級）２号線","市町村道","1986",,"1986","橋","3.4","1","6.4","③ＲＣ橋_ＲＣ溝橋（ＢＯＸカルバート）","RC橋","溝橋(カルバート)","その他（橋台）","直接基礎","○","市区町村","山形村","山形村","長野県","山形村","36.16389","137.87417","無し","上下線","指定無し","×","都道府県","無し","有","一般道","該当しない","無し",,"2021","202108","Ⅱ",,"02村道 1級2号線_山形2号橋.xlsx","両橋台に長いひびわれ、複数の鉄筋露出が確認される。予防保全的な対策が望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,"必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","竣工図なし",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.15472,137.86500","BR0-204501-00003",,,,"山形３号橋","(ﾔﾏｶﾞﾀ3ｺﾞｳｷｮｳ)","村道（１級）２号線","市町村道","1973",,"1973","橋","3.1","1","13.9","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.15472","137.86500","無し","上下線","指定無し","×","都道府県","無し","有","一般道","該当しない","無し",,"2021","202108","Ⅱ",,"03村道 1級2号線_山形3号橋.xlsx","主桁のひびわれや遊離石灰、A1橋台の遊間部からの漏水・遊離石灰、流水による洗掘が確認される。予防保全的な対策が望ましい。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.15167,137.86778","BR0-204501-00004",,,,"山形４号橋","(ﾔﾏｶﾞﾀ4ｺﾞｳｷｮｳ)","村道（１級）２号線","市町村道","1983",,"1983","橋","2.1","1","7.5","③ＲＣ橋_ＲＣ溝橋（ＢＯＸカルバート）","RC橋","溝橋(カルバート)","その他（橋台）","直接基礎","○","市区町村","山形村","山形村","長野県","山形村","36.15167","137.86778","無し","上下線","指定無し","×","市区町村","無し","有","一般道","該当しない","無し",,"2021","202108","Ⅱ",,"04村道 1級2号線_山形4号橋.xlsx","路面に最大幅10㎜の亀甲状のひびわれが広く見られる。桁下に大きな変状は確認されないが、うきや豆板が見られるため進行を抑える対策を早めにを行うことが望ましい。。※下部工のひびわれ、漏水・遊離石灰については、規模が小さく、限定的であるため、技術者判断Ⅱ→Ⅰに変更。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,"必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","竣工図なし",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.18222,137.87222","BR0-204501-00005",,,,"山形５号橋","(ﾔﾏｶﾞﾀ5ｺﾞｳｷｮｳ)","村道（１級）３号線","市町村道","1977",,"1977","橋","2.0","1","5.6","③ＲＣ橋_ＲＣ溝橋（ＢＯＸカルバート）","RC橋","溝橋(カルバート)","その他（橋台）","直接基礎","○","市区町村","山形村","山形村","長野県","山形村","36.18222","137.87222","無し","上下線","指定無し","×","市区町村","無し","有","一般道","該当しない","無し",,"2021","202108","Ⅱ",,"05村道 1級3号線_山形5号橋.xlsx","ボックス接合部からの漏水が原因となる遊離石灰が確認されるため、予防保全的な対策が望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,"必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","必要なし","竣工図なし",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.17167,137.87833","BR0-204501-00006",,,,"山形７号橋","(ﾔﾏｶﾞﾀ7ｺﾞｳｷｮｳ)","村道（１級）５号線","市町村道","1983",,"1983","橋","5.5","1","8.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.17167","137.87833","無し","上下線","指定無し","×","市区町村","無し","有","一般道","該当しない","無し",,"2021","202108","Ⅲ",,"06村道 1級5号線_山形7号橋.xlsx","橋台に顕著なひびわれが確認される。早期の措置が望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.16028,137.83667","BR0-204501-00007",,,,"山形８号橋","(ﾔﾏｶﾞﾀ8ｺﾞｳｷｮｳ)","村道（１級）６号線","市町村道","1973",,"1973","橋","6.5","1","6.6","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","逆Ｔ式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.16028","137.83667","無し","上下線","指定無し","×","都道府県","無し","無","一般道","該当しない","無し",,"2021","202108","Ⅱ",,"07村道 1級6号線_山形8号橋.xlsx","下部構造に鉄筋露出や遊離石灰が見られる。急流河川に渡河している橋梁であるため、定期的な監視が必要である。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","斜橋・曲線橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.09194,137.52139","BR0-204501-00008",,,,"山形９号橋","(ﾔﾏｶﾞﾀ9ｺﾞｳｷｮｳ)","村道（２級）２号線","市町村道","1983",,"1983","橋","3.3","1","6.4","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.09194","137.52139","無し","上下線","指定無し","×","都道府県","無し","無","一般道","該当しない","無し",,"2021","202108","Ⅱ",,"08村道 2級2号線_山形9号橋.xlsx","両橋台に支承部からの漏水・遊離石灰が確認できる。予防保全の観点から対策を行うことが望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.15694,137.86861","BR0-204501-00009",,,,"山形１０号橋","(ﾔﾏｶﾞﾀ10ｺﾞｳｷｮｳ)","村道（２級）２号線","市町村道","1986",,"1986","橋","4.4","1","7.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.15694","137.86861","無し","上下線","指定無し","×","都道府県","無し","有","一般道","該当しない","無し",,"2021","202108","Ⅰ",,"09村道 2級2号線_山形10号橋.xlsx","全体的に健全な状態を保持している。主桁にひびわれが確認されるため、経過観察が必要である。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.15889,137.87222","BR0-204501-00010",,,,"山形１１号橋","(ﾔﾏｶﾞﾀ11ｺﾞｳｷｮｳ)","村道（２級）３号線","市町村道","1986",,"1986","橋","5.0","1","6.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","山形村","山形村","長野県","山形村","36.15889","137.87222","無し","上下線","指定無し","×","都道府県","無し","有","一般道","該当しない","無し","2016年に職員で点検を実施。判定区分をⅡとした。2021年に株式会社エースに点検してもらったところ、技術者判断でⅡ→Ⅰに変更となった。そのため修繕工事を行っていない。","2021","202108","Ⅰ",,"10村道 2級3号線_山形11号橋.xlsx","全体的に健全な状態を保持している。ただし、A2側の堤外水路が破損しているため、今後、橋の機能に影響を与える可能性があるたため、経過観察をする必要がある。",,"2016年に職員で点検を実施。判定区分をⅡとした。2021年に株式会社エースに点検してもらったところ、技術者判断でⅡ→Ⅰに変更となった。そのため修繕工事を行っていない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
