"施設ID","作業用番号","作業内容フラグ_区分","作業内容フラグ_内訳","作業内容フラグ_内訳補足","施設名","施設名_ﾌﾘｶﾞﾅ","路線名","道路種別","架設年度_西暦","架設年度_推測","供用年度_西暦","橋梁種別","橋長(m)","径間数","幅員(m)","上部構造形式","上部工（使用材料）","上部工（構造形式）","下部構造形式","基礎形式","溝橋(ｶﾙﾊﾞｰﾄ)","道路管理者_区分","道路管理者_名称","道路管理者_管理事務所名","行政区域_都道府県名","行政区域_市区町村名","起点側位置_緯度","起点側位置_経度","距離標(KP)","上り・下り線","当該道路_緊急輸送路","道路橋下状況_道路_緊急輸送路","道路橋下状況_道路_道路管理者","道路橋下状況_鉄道","代替路の有無","自専道/一般道","高規格幹線道路区分","占用物件(名称)","施設諸元_備考","点検記録_点検実施年度","点検記録_点検実施年月","点検記録_判定区分","過去の点検表記録様式ファイル名","点検表記録様式ファイル名","所見等(任意)","長寿命化修繕計画","点検・修繕_備考","確認書記載_点検・修繕計画_2019","確認書記載_点検・修繕計画_2020","確認書記載_点検・修繕計画_2021","確認書記載_点検・修繕計画_2022","確認書記載_点検・修繕計画_2023","確認書記載_点検・修繕計画_2024","確認書記載_点検・修繕計画_2025","確認書記載_点検・修繕計画_2026","確認書記載_点検・修繕計画_2027","確認書記載_点検・修繕計画_2028","確認書記載_点検方法","確認書記載_修繕方法","確認書記載_点検済分類","確認書記載_跨線部判定結果","確認書記載_修繕済分類","確認書記載_跨線部再判定結果","確認書に点検時期の記載がない理由","跨線対象_鉄道_JR_1","跨線対象_鉄道_JR_2","跨線対象_鉄道_JR_3","跨線対象_鉄道_JR_4","跨線対象_鉄道_大手民鉄_1","跨線対象_鉄道_大手民鉄_2","跨線対象_鉄道_大手民鉄_3","跨線対象_鉄道_準大手_1","跨線対象_鉄道_準大手_2","跨線対象_鉄道_公営_1","跨線対象_鉄道_公営_2","跨線対象_鉄道_中小民鉄_1","跨線対象_鉄道_中小民鉄_2","跨線対象_鉄道_中小民鉄_3","跨線対象_鉄道_中小民鉄転換鉄道等_1","跨線対象_鉄道_中小民鉄転換鉄道等_2","跨線対象_鉄道_貨物鉄道(JR以外）_1","跨線対象_鉄道_貨物鉄道(JR以外）_2","跨線対象_鉄道_モノレール_1","跨線対象_鉄道_モノレール_2","跨線対象_鉄道_新交通システム_1","跨線対象_鉄道_新交通システム_2","跨線対象_鉄道_鋼索鉄道_1","跨線対象_鉄道_鋼索鉄道_2","跨線対象_鉄道_無軌条電車_1","跨線対象_鉄道_無軌条電車_2","跨線対象_軌道_公営_1","跨線対象_軌道_公営_2","跨線対象_軌道_中小民鉄_1","跨線対象_軌道_中小民鉄_2","跨線対象_軌道_モノレール_1","跨線対象_軌道_モノレール_2","跨線対象_軌道_新交通システム_1","跨線対象_軌道_新交通システム_2","跨線対象_その他","通行規制_規制内容","通行規制_規制内容_詳細","通行規制_新規追加","通行規制_規制内容変更","通行規制_開始年度","通行規制_規制までの橋齢","規制解除（予定）年度","規制原因_自由入力","通行規制_原因コード","通行規制_原因_具体的内容の分類","通行規制_原因_詳細","補修等実施状況","補修等実施予定時期","補修等実施予定年月","撤去措置区分","新設設計時の適用基準","橋の重要度","耐震補強の状況","性能３を満たすための対策状況","性能３を満たすための対策完了目標年度","性能２を満たすための対策状況","性能２を満たすための対策完了目標年度","橋種_一般橋","橋種_特殊橋_トラス橋","橋種_特殊橋_吊り橋","橋種_特殊橋_斜張橋","橋種_特殊橋_その他特殊橋梁","対策メニュー_基礎（フーチング含む）","対策メニュー_橋台","対策メニュー_橋脚","対策メニュー_橋脚_うち段落とし部","縁対策メニュー_縁端拡幅","対策メニュー_落橋防止構造","対策メニュー_変位制限構造（横変位拘束構造）","対策メニュー_支承交換","対策メニュー_段差防止構造","対策メニュー_上部工補強","対策メニュー_その他","図面の有無","基礎の耐震補強_適用基準・図面類","基礎の耐震補強_基礎の照査結果","基礎の耐震補強_液状化エリア","基礎の耐震補強_簡易判定","単径間の橋梁_種類","単径間の橋梁_照査の有無","ロッキング橋脚を有する橋梁","パイルベント橋脚を有する橋梁","全国地震予想地図での発生確率","跨道橋_用途種別","跨道橋の状況_現在未使用","跨道橋の状況_今後の利用","跨道橋の状況_撤去計画の有無","跨道橋の状況_撤去計画無しの理由","跨道橋下の管理者_会社名","跨道橋下の管理者_支社名","跨道橋下の管理者_事務所名","跨道橋下の路線情報_路線区別","跨道橋下の路線情報_高速道路等名称","位置情報_IC間_自","位置情報_IC間_至","位置情報_KP","跨線橋下管理者との管理協定の締結","管理協定_無しの理由","点検実施状況","点検を委託で実施","点検方法","跨線橋下管理者との共有","点検結果_最新の点検時期","点検結果_5年以内の対策","修繕の内容_はく落対策_実施状況","修繕の内容_壁高欄補修_実施状況","修繕の内容_コンクリたたき落とし_実施状況","修繕の内容_塗替塗装_実施状況","修繕の内容_クラック補修_実施状況","修繕の内容_架替_実施状況","修繕の内容_その他_具体的内容","修繕の内容_その他_実施状況","修繕の内容_未実施の理由","耐震補強_実施状況","耐震未照査_該当","耐震未照査_照査実施計画年度","未移管跨線橋_該当","未移管跨線橋_区分","要請（公表）するべきもの","本来管理者_区分","本来管理者名（移管予定先）","移管後_道路法上の道路_該当","移管後_用途種別","移管状況","移管時期"
"36.11028,137.83000","BR0-204510-00001",,,,"滝ノ沢橋","(ﾀｷﾉｻﾜﾊｼ)","村道入二幹２３号線","市町村道","1998",,,,"6.1","1","9.3","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.11028","137.83000","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2021","202108","Ⅱ",,"10_入二幹23号線_滝ノ沢橋.xlsx","前回点検時に確認されなかったひびわれと遊離石灰が主桁下面に見られた。乾燥収縮が原因と推察する。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H8道示（復旧仕様含む）","Ａ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.11639,137.87611","BR0-204510-00002",,,,"６号橋","(ﾛｸｺﾞｳｷｮｳ)","村道（２級）西洗馬幹６号線","市町村道","1993",,,,"3.8","1","5.4","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.11639","137.87611","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2021","202108","Ⅲ",,"11_西洗馬幹6号線_6号橋.xlsx","A2基礎に流水による洗掘が確認された。前回点検時から大きな進行はない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.13722,137.84833","BR0-204510-00003",,,,"１２号橋","(ｼﾞｭｳﾆｺﾞｳｷｮｳ)","村道入二１０号線","市町村道","1994",,,,"4.3","1","3.3","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.13722","137.84833","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅱ",,"12_入二１０号線_12号橋.xlsx","前回点検時に確認されなかった鉄筋露出が主桁下面に見られる。鋼材のかぶり不足が原因と推察する。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.11639,137.83472","BR0-204510-00004",,,,"舟ケ沢１号橋","(ﾌﾅｶﾞｻﾜｲﾁｺﾞｳｷｮｳ)","村道入二１１号線","市町村道","1975",,,,"9.5","1","8.1","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.11639","137.83472","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅱ",,"13_入二11号線_舟ヶ沢1号橋.xlsx","主桁の局部的な遊離石灰は、橋面防水機能の低下が原因と推察する。前回点検時から変状の大きな進行はない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.11778,137.83222","BR0-204510-00005",,,,"舟ケ沢２号橋","(ﾌﾅｶﾞｻﾜﾆｺﾞｳｷｮｳ)","村道入二１１号線","市町村道","1995",,,,"12.6","1","7.2","④ＰＣ橋_プレテン中空床版","PC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.11778","137.83222","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅱ",,"14_入二11号線_舟ヶ沢2号橋.xlsx","床版（間詰コン）下面の遊離石灰は、橋面防水機能の低下が原因と推察する。前回点検時から遊離石灰の範囲が拡がっている。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.10000,137.82250","BR0-204510-00006",,,,"中俣１号橋","(ﾅｶﾏﾀｲﾁｺﾞｳｷｮｳ)","村道入二１６号線","市町村道","2002",,,,"10.0","1","7.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.10000","137.82250","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅲ",,"15_入二16号線_中俣1号橋.xlsx","前回点検時に見られなかったA2橋台基礎の露出（L=1.6m）が見られる。増水時の流水により洗掘されたと推察する。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H8道示（復旧仕様含む）","Ａ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.09611,137.81944","BR0-204510-00007",,,,"中俣２号橋","(ﾅｶﾏﾀﾆｺﾞｳｷｮｳ)","村道入二１６号線","市町村道","2002",,,,"11.8","1","5.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.09611","137.81944","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅱ",,"16_入二16号線_中俣2号橋.xlsx","橋軸直角方向のひびわれは、乾燥収縮と側面からの伝い水による凍結融解作用が原因と推察する。前回点検時から大きな進行はない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H8道示（復旧仕様含む）","Ａ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"～6%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.09782,137.82094","BR0-204510-00008",,,,"樫俣２号橋","(ｶｼﾏﾀﾆｺﾞｳｷｮｳ)","村道入二１７号線","市町村道","2002",,,,"13.1","1","5.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.09782","137.82094","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅱ",,"17_入二17号線_樫俣2号橋.xlsx","主桁のひびわれは、乾燥収縮と上部工からの伝い水が原因と推察する。前回点検時から大きな進行はない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H8道示（復旧仕様含む）","Ａ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.09889,137.82722","BR0-204510-00009",,,,"１９号橋","(ｼﾞｭｳｷｭｳｺﾞｳｷｮｳ)","村道入二１７号線","市町村道","1982",,,,"5.4","1","3.5","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","その他（橋脚）","その他",,"市区町村","朝日村","朝日村","長野県","朝日村","36.09889","137.82722","無し","上下線","指定無し","×",,"無し","無","一般道",,,,"2021","202108","Ⅱ",,"18_入二17号線_19号橋.xlsx","流水による河床洗掘により、A2橋台基礎が露出している。前回点検時から大きな河床の低下は見られないため、技術者判断により判定をⅡとする。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","個別判定","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.11953,137.87847","BR0-204510-00010",,,,"２０号橋","(ﾆｼﾞｭｳｺﾞｳｷｮｳ)","村道西洗馬１１号線","市町村道","1997",,,,"3.8","1","10.3","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋",,,,"市区町村","朝日村","朝日村","長野県","朝日村","36.11953","137.87847","無し","上下線","指定無し","×",,"無し","有","一般道",,,,"2021","202109","Ⅱ",,"19_西洗馬幹11号線_20号橋.xlsx","主桁下面に剥離・鉄筋露出が生じている。鉄筋かぶり不足が原因と推察される。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H8道示（復旧仕様含む）","Ａ種の橋",,,,,,"1",,,,,"不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","不要","竣工図なし","基礎の耐震補強照査を実施していない",,"液状化の想定されるエリア外の橋梁","損傷度Ⅳ又はⅢ以下","直橋","未実施",,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
