"施設ID","作業用番号","作業内容フラグ_区分","作業内容フラグ_内訳","作業内容フラグ_内訳補足","施設名","施設名_ﾌﾘｶﾞﾅ","路線名","道路種別","架設年度_西暦","架設年度_推測","供用年度_西暦","橋梁種別","橋長(m)","径間数","幅員(m)","上部構造形式","上部工（使用材料）","上部工（構造形式）","下部構造形式","基礎形式","溝橋(ｶﾙﾊﾞｰﾄ)","道路管理者_区分","道路管理者_名称","道路管理者_管理事務所名","行政区域_都道府県名","行政区域_市区町村名","起点側位置_緯度","起点側位置_経度","距離標(KP)","上り・下り線","当該道路_緊急輸送路","道路橋下状況_道路_緊急輸送路","道路橋下状況_道路_道路管理者","道路橋下状況_鉄道","代替路の有無","自専道/一般道","高規格幹線道路区分","占用物件(名称)","施設諸元_備考","点検記録_点検実施年度","点検記録_点検実施年月","点検記録_判定区分","過去の点検表記録様式ファイル名","点検表記録様式ファイル名","所見等(任意)","長寿命化修繕計画","点検・修繕_備考","確認書記載_点検・修繕計画_2019","確認書記載_点検・修繕計画_2020","確認書記載_点検・修繕計画_2021","確認書記載_点検・修繕計画_2022","確認書記載_点検・修繕計画_2023","確認書記載_点検・修繕計画_2024","確認書記載_点検・修繕計画_2025","確認書記載_点検・修繕計画_2026","確認書記載_点検・修繕計画_2027","確認書記載_点検・修繕計画_2028","確認書記載_点検方法","確認書記載_修繕方法","確認書記載_点検済分類","確認書記載_跨線部判定結果","確認書記載_修繕済分類","確認書記載_跨線部再判定結果","確認書に点検時期の記載がない理由","跨線対象_鉄道_JR_1","跨線対象_鉄道_JR_2","跨線対象_鉄道_JR_3","跨線対象_鉄道_JR_4","跨線対象_鉄道_大手民鉄_1","跨線対象_鉄道_大手民鉄_2","跨線対象_鉄道_大手民鉄_3","跨線対象_鉄道_準大手_1","跨線対象_鉄道_準大手_2","跨線対象_鉄道_公営_1","跨線対象_鉄道_公営_2","跨線対象_鉄道_中小民鉄_1","跨線対象_鉄道_中小民鉄_2","跨線対象_鉄道_中小民鉄_3","跨線対象_鉄道_中小民鉄転換鉄道等_1","跨線対象_鉄道_中小民鉄転換鉄道等_2","跨線対象_鉄道_貨物鉄道(JR以外）_1","跨線対象_鉄道_貨物鉄道(JR以外）_2","跨線対象_鉄道_モノレール_1","跨線対象_鉄道_モノレール_2","跨線対象_鉄道_新交通システム_1","跨線対象_鉄道_新交通システム_2","跨線対象_鉄道_鋼索鉄道_1","跨線対象_鉄道_鋼索鉄道_2","跨線対象_鉄道_無軌条電車_1","跨線対象_鉄道_無軌条電車_2","跨線対象_軌道_公営_1","跨線対象_軌道_公営_2","跨線対象_軌道_中小民鉄_1","跨線対象_軌道_中小民鉄_2","跨線対象_軌道_モノレール_1","跨線対象_軌道_モノレール_2","跨線対象_軌道_新交通システム_1","跨線対象_軌道_新交通システム_2","跨線対象_その他","通行規制_規制内容","通行規制_規制内容_詳細","通行規制_新規追加","通行規制_規制内容変更","通行規制_開始年度","通行規制_規制までの橋齢","規制解除（予定）年度","規制原因_自由入力","通行規制_原因コード","通行規制_原因_具体的内容の分類","通行規制_原因_詳細","補修等実施状況","補修等実施予定時期","補修等実施予定年月","撤去措置区分","新設設計時の適用基準","橋の重要度","耐震補強の状況","性能３を満たすための対策状況","性能３を満たすための対策完了目標年度","性能２を満たすための対策状況","性能２を満たすための対策完了目標年度","橋種_一般橋","橋種_特殊橋_トラス橋","橋種_特殊橋_吊り橋","橋種_特殊橋_斜張橋","橋種_特殊橋_その他特殊橋梁","対策メニュー_基礎（フーチング含む）","対策メニュー_橋台","対策メニュー_橋脚","対策メニュー_橋脚_うち段落とし部","縁対策メニュー_縁端拡幅","対策メニュー_落橋防止構造","対策メニュー_変位制限構造（横変位拘束構造）","対策メニュー_支承交換","対策メニュー_段差防止構造","対策メニュー_上部工補強","対策メニュー_その他","図面の有無","基礎の耐震補強_適用基準・図面類","基礎の耐震補強_基礎の照査結果","基礎の耐震補強_液状化エリア","基礎の耐震補強_簡易判定","単径間の橋梁_種類","単径間の橋梁_照査の有無","ロッキング橋脚を有する橋梁","パイルベント橋脚を有する橋梁","全国地震予想地図での発生確率","跨道橋_用途種別","跨道橋の状況_現在未使用","跨道橋の状況_今後の利用","跨道橋の状況_撤去計画の有無","跨道橋の状況_撤去計画無しの理由","跨道橋下の管理者_会社名","跨道橋下の管理者_支社名","跨道橋下の管理者_事務所名","跨道橋下の路線情報_路線区別","跨道橋下の路線情報_高速道路等名称","位置情報_IC間_自","位置情報_IC間_至","位置情報_KP","跨線橋下管理者との管理協定の締結","管理協定_無しの理由","点検実施状況","点検を委託で実施","点検方法","跨線橋下管理者との共有","点検結果_最新の点検時期","点検結果_5年以内の対策","修繕の内容_はく落対策_実施状況","修繕の内容_壁高欄補修_実施状況","修繕の内容_コンクリたたき落とし_実施状況","修繕の内容_塗替塗装_実施状況","修繕の内容_クラック補修_実施状況","修繕の内容_架替_実施状況","修繕の内容_その他_具体的内容","修繕の内容_その他_実施状況","修繕の内容_未実施の理由","耐震補強_実施状況","耐震未照査_該当","耐震未照査_照査実施計画年度","未移管跨線橋_該当","未移管跨線橋_区分","要請（公表）するべきもの","本来管理者_区分","本来管理者名（移管予定先）","移管後_道路法上の道路_該当","移管後_用途種別","移管状況","移管時期"
"36.28484,137.94630","BR0-202029-00001",,,,"無名橋（１２００１）","(ﾑﾒｲﾊﾞｼ(12001)","市道１０５４号線","市町村道","不明","1961～1970年",,"橋","3.6","1","4.2","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","松本市","松本市","長野県","松本市","36.28484","137.94630","無し","上下線","指定無し","×",,"無し","無","一般道",,"水道",,"2020","202101","Ⅱ",,"市道1054号線_無名橋(12001).xlsx","橋面アスファルト舗装に剥離、支承部に漏水跡、床版下面の広い範囲で鉄筋露出が見られることから、予防保全対策が必要である。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.28906,137.96621","BR0-202029-00002",,,,"無名橋（１２００２）","(ﾑﾒｲﾊﾞｼ(12002)","市道１０９１号線","市町村道","1996",,,"橋","2.6","1","11.8","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","松本市","松本市","長野県","松本市","36.28906","137.96621","無し","上下線","指定無し","×",,"無し","有","一般道",,"無し",,"2024","202501","Ⅱ","市道1091号線_無名橋(12002).xlsx","市道1091号線_無名橋（12002）.xlsx","【上部構造】
 　形式はRC床板である。
　幅員方向中央付近にW0.1ｍｍのひび割れが見られるが、現時点では想定される事象への影響はないと判断される。
【下部構造】
　下部構造は護岸工により確認できない。現状は定期点検による経過観察を行い、状況を把握することが望ましい。想定される事象（地震）発生時には護岸を注意して点検する必用がある。
【上下部接続部】
　目立った損傷なく健全である。
【総合評価】
　橋全体としては、損傷は少ないが、下部構造が護岸により確認できず、上部工が護岸の上に設置されている可能性もあるため、橋梁の健全性区分は「Ⅱ」判定とした。今後も定期点検による経過観察を行い、劣化の進行状況を把握し、状況に応じて予防保全的な対策をとることが望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2道示","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.28889,137.96640","BR0-202029-00003",,,,"無名橋（１２００３）","(ﾑﾒｲﾊﾞｼ(12003)","市道１０９２号線","市町村道","不明","1961～1970年",,"橋","2.3","1","6.7","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","松本市","松本市","長野県","松本市","36.28889","137.96640","無し","上下線","指定無し","×",,"無し","有","一般道",,"無し",,"2024","202501","Ⅱ","市道1092号線_無名橋(12003).xlsx","市道1092号線_無名橋（12003）.xlsx","【上部構造】
 　形式はRC床板である。
　床板に、剥離及び鉄筋露出が見られる。前回点検より、損傷の進捗が進んでいるので、予防保全の観点から措置を講ずることが望ましい。
【下部構造】
　下部構造は護岸工により確認できない。現状は定期点検による経過観察を行い、状況を把握することが望ましい。想定される事象（地震）発生時には護岸を注意して点検する必用がある。
【上下部接続部】
　目立った損傷なく健全である。
【総合評価】
　床板に鉄筋露出が見られため、予防保全の観点から措置を講ずることが望ましい。また、下部構造が護岸により確認できず、上部工が護岸の上に設置されている可能性もあるため、橋梁の健全性区分は「Ⅱ」判定とした。今後も定期点検による経過観察を行い、劣化の進行状況を把握し、状況に応じて予防保全的な対策をとることが望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.27637,137.96910","BR0-202029-00004",,,,"無名橋（１２００４）","(ﾑﾒｲﾊﾞｼ(12004)","市道１１３０号線","市町村道","不明","1981～1990年",,"橋","4.0","1","10.0","③ＲＣ橋_ＲＣ溝橋（ＢＯＸカルバート）","RC橋","溝橋(カルバート)","その他（橋台）","直接基礎","●","市区町村","松本市","松本市","長野県","松本市","36.27637","137.96910","無し","上下線","指定無し","×",,"無し","有","一般道",,"無し",,"2024","202410","Ⅱ","市道1130号線_無名橋12004.xlsx","市道1130号線_無名橋(12004).xlsx","【上部構造】
　第1径間の舗装にW=5.0mm程度のひびわれと凹み、RCボックスカルバート頂版に橋軸方向の幅0.3mm程度の細いひびわれが確認された。頂版のひびわれ発生箇所は舗装にみられる損傷箇所とは異なり、漏水や遊離石灰析出もみられなかった。また前回点検から損傷の進行がみられなかった為、施工時の外部拘束による温度ひびわれや乾燥収縮によるひびわれと推測される。舗装のひびわれ及び凹みは経年劣化によるものと推測される。走行性の観点から予防保全的な対策が望ましい。
【下部構造】
　第2径間のプレキャストボックス側壁にW=0.3mm程度の水平方向のひびわれが確認された。施工時の養生不良による沈下ひびわれまたは不同沈下、偏土圧によるものと考えられるが、損傷は軽微である。また第1径間に局部的な剥離がみられたが、施工時の木片混入によるものと推定される。ひびわれ及び剥離についてはいずれも軽微な損傷である。
【上下部接続部】
　第1径間、第2径間ともにハンチ部下端において水平方向の最大W=1.0mmのひびわれが確認された。側壁と同様に施工時の養生不良による沈下ひびわれまたは不同沈下、偏土圧によるものと考えられるが、漏水や鉄筋腐食によるうき、剥離等はみられず、損傷は軽微である。
【総合評価】
　橋梁全体としての機能に支障は生じておらず、健全を保持しているが、舗装の凹みによる走行性への影響が考えられるため、予防保全的な対策が望ましいと判断し、橋梁の健全性区分は「Ⅱ」判定とした。今後も定期点検による経過観察を行い、劣化の進行状況を把握することが望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H26年度実施済",,,,,,,,,,,,,
"36.27645,137.96921","BR0-202029-00005",,,,"無名橋（１２００５）","(ﾑﾒｲﾊﾞｼ(12005)","市道１６８７号線","市町村道","1993",,,"橋","3.6","1","4.6","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","松本市","松本市","長野県","松本市","36.27645","137.96921","無し","上下線","指定無し","×",,"無し","無","一般道",,"無し",,"2022","202212","Ⅱ","市道1687号線_無名橋(12005)-2017.xlsx","市道1687号線_無名橋(12005).xlsx","床版継目に錆汁・遊離石灰を確認。構造物の機能に支障は生じていないが、予防保全の観点から措置を講ずることが望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2道示","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.29072,137.99573","BR0-202029-00006",,,,"無名橋（１２００７）","(ﾑﾒｲﾊﾞｼ(12007)","市道１７１４号線","市町村道","不明","1961～1970年",,"橋","2.6","1","3.8","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","松本市","松本市","長野県","松本市","36.29072","137.99573","無し","上下線","指定無し","×",,"無し","有","一般道",,"無し",,"2024","202412","Ⅰ","市道1714号線_無名橋(12007).xlsx","市道1714号線_無名橋(12007).xlsx","【上部構造】
　形式はRC床版である。
　経年に伴う表面劣化と、局部的に石灰分の析出が見られる。前回点検からの損傷の進行は、ほとんど見られない。現時点では想定される事象への影響はないと判断される。
【下部構造】
　コンクリート橋台である。
　経年に伴う表面劣化と流水による摩耗、また、局部的に石灰分の析出が見られる。前回点検からの損傷の進行は、ほとんど見られない。現時点では想定される事象への影響はないと判断される。
【上下部接合部】
　現状、異常は見られない。現時点では想定される事象への影響はないと判断される。
【総合評価】
　全体的に前回点検からの損傷の進行は見られない。損傷は軽微で、交通量も少なく利用環境が良好なことから、橋梁の健全性区分は「Ⅰ」判定とした。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.29071,137.99580","BR0-202029-00007",,,,"無名橋（１２００８）","(ﾑﾒｲﾊﾞｼ(12008)","市道１７１３号線","市町村道","不明","1971～1980年",,"橋","2.4","1","6.7","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎","●","市区町村","松本市","松本市","長野県","松本市","36.29071","137.99580","無し","上下線","指定無し","×",,"無し","有","一般道",,"その他",,"2024","202412","Ⅰ","市道1713号線_無名橋(12008).xlsx","市道1713号線_無名橋(12008).xlsx","【上部構造】
　RCプレキャストボックスカルバートの溝橋である。
　頂版においては、前回点検からの損傷の進行はほとんど見られず、かぶり不足の中性化による局部的な鉄筋露出が見られる程度である。現時点では想定される事象への影響はないと判断される。
【下部構造】
　側壁及び底版において、現状異常は見られない。現時点では想定される事象への影響はないと判断される。
【上下部接続部】
　ハンチ部において、現状異常は見られない。現時点では想定される事象への影響はないと判断される。
【総合評価】
　全体的に前回点検からの損傷の進行は見られない。損傷は軽微で、交通量も少なく利用環境が良好なことから、橋梁の健全性区分は「Ⅰ」判定とした。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.28748,138.00913","BR0-202029-00008",,,,"無名橋（１２００９）","(ﾑﾒｲﾊﾞｼ(12009)","市道１７１６号線","市町村道","不明","1951～1960年",,"橋","4.4","1","2.6","③ＲＣ橋_ＲＣ中実床版","RC橋","床版橋","重力式橋台","直接基礎",,"市区町村","松本市","松本市","長野県","松本市","36.28748","138.00913","無し","上下線","指定無し","×",,"無し","有","一般道",,"水道",,"2020","202101","Ⅱ",,"市道1716号線_無名橋(12009).xlsx","床版下面に広い範囲で鉄筋露出、下部工にひびわれ、支承部に漏水跡、舗装の異常が見られることから、予防保全対策が必要である。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.28496,137.94532","BR0-202029-00009",,,,"下田２号橋（１２０１０）","(ｼﾓﾀﾞﾆｺﾞｳｷｮｳ)","市道１００２号線","市町村道","1965",,"1965","橋","5.7","1","4.0","④ＰＣ橋_ＰＣ桁橋（その他）","PC橋","桁橋","その他（橋台）","その他",,"市区町村","松本市","松本市","長野県","松本市","36.28496","137.94532","無し","上下線","指定無し","×",,"無し","有","一般道","該当しない","無し",,"2020","202012","Ⅱ",,"市道1002号線_下田２号橋.xlsx","橋台の広範囲に剥離・鉄筋露出が生じている。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ａ種の橋",,,,,,"1",,,,,,,,,,,,,,,,,,,"液状化の想定されるエリア外の橋梁","個別判定",,,,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.28722,137.98616","BR0-202029-00010",,,,"無名橋（１２０１１）","(ﾑﾒｲﾊﾞｼ(12011)","市道１７１２号線","市町村道","不明","1981～1990年",,"橋","2.5","1","5.0","③ＲＣ橋_ＲＣ溝橋（ＢＯＸカルバート）","RC橋","溝橋(カルバート)","その他（橋台）","直接基礎","●","市区町村","松本市","松本市","長野県","松本市","36.28722","137.98616","無し","上下線","指定無し","×",,"無し","有","一般道",,"その他",,"2024","202410","Ⅱ","市道1712号線_無名橋12011.xlsx","市道1712号線_無名橋(12011).xlsx","【上部構造】
　RCプレキャストボックスカルバートの溝橋である。
　頂版は、製品製作不良と推察される箇所における経年に伴う表面劣化が広い範囲で見られ、局所的に遊離石灰の析出が見られる。現時点では想定される事象への影響はないと判断されるが、必要に応じて予防保全的な対策が望ましい。
【下部構造】
　側壁は、経年に伴う目地材の欠損や、局所的な鉄筋露出また、W0.20mm程度のひびわれが散見される。底版に目立った損傷は見られない。
　ただし最上流ブロックの側壁は、ひびわれの程度が他より悪く、W0.30～1.0mmのひびわれが見られる。これは、隣接する水門による力学的作用による疲労が原因と推察される。現時点では想定される事象への影響はないと判断されるが、必要に応じて予防保全的な対策が望ましい。
【上下部接合部】
　ハンチ部は、W0.15～0.35mm程度のひびわれが散見される。また、連結部後打ち部に遊離石灰析出やひびわれ、局所的な鉄筋露出が見られる。これも現時点では想定される事象への影響はないと判断されるが、必要に応じて予防保全的な対策が望ましい。
【総合評価】
　前回点検からの大きな損傷の進行は見られないが、最上流ブロックの側壁のひびわれに進行が見られる。また、頂版の表面劣化も遊離石灰の析出を伴っており、今後の損傷の進行が懸念されることから橋梁の健全性区分は「Ⅱ」と判定した。今後も定期点検による経過観察を行い、劣化の進行状況を把握し、状況に応じて予防保全的な対策をとることが望ましい。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ａ種の橋",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H26年度実施済",,,,,,,,,,,,,
