"施設ID","作業用番号","作業内容フラグ_区分","作業内容フラグ_内訳","作業内容フラグ_内訳補足","施設名","施設名_ﾌﾘｶﾞﾅ","路線名","道路種別","架設年度_西暦","架設年度_推測","供用年度_西暦","橋梁種別","橋長(m)","径間数","幅員(m)","上部構造形式","上部工（使用材料）","上部工（構造形式）","下部構造形式","基礎形式","溝橋(ｶﾙﾊﾞｰﾄ)","道路管理者_区分","道路管理者_名称","道路管理者_管理事務所名","行政区域_都道府県名","行政区域_市区町村名","起点側位置_緯度","起点側位置_経度","距離標(KP)","上り・下り線","当該道路_緊急輸送路","道路橋下状況_道路_緊急輸送路","道路橋下状況_道路_道路管理者","道路橋下状況_鉄道","代替路の有無","自専道/一般道","高規格幹線道路区分","占用物件(名称)","施設諸元_備考","点検記録_点検実施年度","点検記録_点検実施年月","点検記録_判定区分","過去の点検表記録様式ファイル名","点検表記録様式ファイル名","所見等(任意)","長寿命化修繕計画","点検・修繕_備考","確認書記載_点検・修繕計画_2019","確認書記載_点検・修繕計画_2020","確認書記載_点検・修繕計画_2021","確認書記載_点検・修繕計画_2022","確認書記載_点検・修繕計画_2023","確認書記載_点検・修繕計画_2024","確認書記載_点検・修繕計画_2025","確認書記載_点検・修繕計画_2026","確認書記載_点検・修繕計画_2027","確認書記載_点検・修繕計画_2028","確認書記載_点検方法","確認書記載_修繕方法","確認書記載_点検済分類","確認書記載_跨線部判定結果","確認書記載_修繕済分類","確認書記載_跨線部再判定結果","確認書に点検時期の記載がない理由","跨線対象_鉄道_JR_1","跨線対象_鉄道_JR_2","跨線対象_鉄道_JR_3","跨線対象_鉄道_JR_4","跨線対象_鉄道_大手民鉄_1","跨線対象_鉄道_大手民鉄_2","跨線対象_鉄道_大手民鉄_3","跨線対象_鉄道_準大手_1","跨線対象_鉄道_準大手_2","跨線対象_鉄道_公営_1","跨線対象_鉄道_公営_2","跨線対象_鉄道_中小民鉄_1","跨線対象_鉄道_中小民鉄_2","跨線対象_鉄道_中小民鉄_3","跨線対象_鉄道_中小民鉄転換鉄道等_1","跨線対象_鉄道_中小民鉄転換鉄道等_2","跨線対象_鉄道_貨物鉄道(JR以外）_1","跨線対象_鉄道_貨物鉄道(JR以外）_2","跨線対象_鉄道_モノレール_1","跨線対象_鉄道_モノレール_2","跨線対象_鉄道_新交通システム_1","跨線対象_鉄道_新交通システム_2","跨線対象_鉄道_鋼索鉄道_1","跨線対象_鉄道_鋼索鉄道_2","跨線対象_鉄道_無軌条電車_1","跨線対象_鉄道_無軌条電車_2","跨線対象_軌道_公営_1","跨線対象_軌道_公営_2","跨線対象_軌道_中小民鉄_1","跨線対象_軌道_中小民鉄_2","跨線対象_軌道_モノレール_1","跨線対象_軌道_モノレール_2","跨線対象_軌道_新交通システム_1","跨線対象_軌道_新交通システム_2","跨線対象_その他","通行規制_規制内容","通行規制_規制内容_詳細","通行規制_新規追加","通行規制_規制内容変更","通行規制_開始年度","通行規制_規制までの橋齢","規制解除（予定）年度","規制原因_自由入力","通行規制_原因コード","通行規制_原因_具体的内容の分類","通行規制_原因_詳細","補修等実施状況","補修等実施予定時期","補修等実施予定年月","撤去措置区分","新設設計時の適用基準","橋の重要度","耐震補強の状況","性能３を満たすための対策状況","性能３を満たすための対策完了目標年度","性能２を満たすための対策状況","性能２を満たすための対策完了目標年度","橋種_一般橋","橋種_特殊橋_トラス橋","橋種_特殊橋_吊り橋","橋種_特殊橋_斜張橋","橋種_特殊橋_その他特殊橋梁","対策メニュー_基礎（フーチング含む）","対策メニュー_橋台","対策メニュー_橋脚","対策メニュー_橋脚_うち段落とし部","縁対策メニュー_縁端拡幅","対策メニュー_落橋防止構造","対策メニュー_変位制限構造（横変位拘束構造）","対策メニュー_支承交換","対策メニュー_段差防止構造","対策メニュー_上部工補強","対策メニュー_その他","図面の有無","基礎の耐震補強_適用基準・図面類","基礎の耐震補強_基礎の照査結果","基礎の耐震補強_液状化エリア","基礎の耐震補強_簡易判定","単径間の橋梁_種類","単径間の橋梁_照査の有無","ロッキング橋脚を有する橋梁","パイルベント橋脚を有する橋梁","全国地震予想地図での発生確率","跨道橋_用途種別","跨道橋の状況_現在未使用","跨道橋の状況_今後の利用","跨道橋の状況_撤去計画の有無","跨道橋の状況_撤去計画無しの理由","跨道橋下の管理者_会社名","跨道橋下の管理者_支社名","跨道橋下の管理者_事務所名","跨道橋下の路線情報_路線区別","跨道橋下の路線情報_高速道路等名称","位置情報_IC間_自","位置情報_IC間_至","位置情報_KP","跨線橋下管理者との管理協定の締結","管理協定_無しの理由","点検実施状況","点検を委託で実施","点検方法","跨線橋下管理者との共有","点検結果_最新の点検時期","点検結果_5年以内の対策","修繕の内容_はく落対策_実施状況","修繕の内容_壁高欄補修_実施状況","修繕の内容_コンクリたたき落とし_実施状況","修繕の内容_塗替塗装_実施状況","修繕の内容_クラック補修_実施状況","修繕の内容_架替_実施状況","修繕の内容_その他_具体的内容","修繕の内容_その他_実施状況","修繕の内容_未実施の理由","耐震補強_実施状況","耐震未照査_該当","耐震未照査_照査実施計画年度","未移管跨線橋_該当","未移管跨線橋_区分","要請（公表）するべきもの","本来管理者_区分","本来管理者名（移管予定先）","移管後_道路法上の道路_該当","移管後_用途種別","移管状況","移管時期"
"35.97944,138.16611","BR0-200000-00001",,,,"建倉橋","(ﾀﾃｸﾗﾊｼ)","県道払沢茅野線","都道府県道","1950",,"1950",,"15.6","1","7.5","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（合成）","鋼橋","桁橋(I桁(合成))","その他（橋台）","直接基礎",,"都道府県","長野県","諏訪建設事務所","長野県","茅野市","35.97944","138.16611","無し","上下線","二次","×",,"無し","有","一般道",,,,"2024","202502","Ⅲ","197 払沢茅野線_建倉橋.xlsx，197 払沢茅野線_建倉橋.xlsx","15 197 払沢茅野線_0813 建倉橋.xlsx","前回点検時においても補修、補強が施されている状況であったが、(主桁、横桁、床版にはカーボンシートによる補強が施されている。又、一部ひび割れ修復工が処理されているカ所が確認された。     　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　横桁の一部にひび割れ進行が確認された事と伸縮装置からの漏水対策が施されていない、又、写真１０に見られる様に遊離石灰が氷柱状に桁下、床版補強面に確認された事から橋面防水が施されていないため、今後上部工影響が懸念される。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　全体的には前回点検からの変位は軽微であるが補強補修で行われていない対策工が必要であると判断し判定Ⅲとした。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"未実施",,,,,,,,,,,,,,,,,,,,,,,,,,
"36.33287,138.42058","BR0-200000-00002",,,,"中堰橋","(ﾅｶｾｷﾊﾞｼ)","国道141号","一般国道（指定区間外）","1956",,,,"3.0","1","10.4","③ＲＣ橋_ＲＣ床版橋（その他）","RC橋","床版橋","その他（橋台）","その他",,"都道府県","長野県","佐久建設事務所佐久北部事務所","長野県","小諸市","36.33287","138.42058","67.58","上下線","一次","指定無し","市区町村","無し","有","一般道",,,,"2023","202308","Ⅱ","国道141号_中堰橋.xlsx","001_中堰橋.xlsx","経年劣化による損傷が見られたが、軽微である。経過観察とする。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"未実施",,,,,,,,,,,,,,,,,,,,,,,,,,
"35.98472,138.16056","BR0-200000-00003",,,,"茅野第４橋","(ﾁﾉﾀﾞｲﾖﾝｷｮｳ)","県道払沢茅野線","都道府県道","1957",,"1957","橋","3.8","1","9.5","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（合成）","鋼橋","桁橋(I桁(合成))","その他（橋台）","直接基礎",,"都道府県","長野県","諏訪建設事務所","長野県","茅野市","35.98472","138.16056","無し","上下線","二次","×",,"無し","有","一般道",,,,"2024","202502","Ⅲ","197 払沢茅野線_茅野第４橋.xlsx，197 払沢茅野線_茅野第４橋.xlsx","13 197 払沢茅野線_0270 茅野第４橋.xlsx","主桁の剥離､鉄筋露出が著しい。(施工時の鉄筋被り不足、漏水によるポップアウトが原因）
前回点検時より剥離状況が進行していると思われるため判定Ⅲとした。(前回判定Ⅱ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"未実施",,,,,,,,,,,,,,,,,,,,,,,,,,
"35.97947,138.16620","BR0-200000-00004",,,,"建倉橋側道橋","(ﾀﾃｸﾗﾊｼｿｸﾄﾞｳｷｮｳ)","県道払沢茅野線","都道府県道","1971",,,,"15.6","1","1.9","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（合成）","鋼橋","桁橋(I桁(合成))","その他（橋台）","直接基礎",,"都道府県","長野県","諏訪建設事務所","長野県","茅野市","35.97947","138.16620","無し","上り線","二次","×",,"無し","有","一般道",,,,"2024","202502","Ⅰ","197 払沢茅野線_建倉橋 (1).xlsx，197 払沢茅野線_建倉橋側道橋.xlsx","12 197 払沢茅野線_0004 建倉橋側道橋.xlsx","舗装部に細かなひびわれが見られるが軽微である｡

その他上部工､下部工､天架物に目立った損傷は見られない｡

高欄の塗装が剥がれ始めており､防食機能の低下がみられるが､現況に於いて腐食箇所は非常に少ない｡

以上から健全性の判定はⅠとした｡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"未実施",,,,,,,,,,,,,,,,,,,,,,,,,,
"35.98472,138.16083","BR0-200000-00005",,,,"茅野第４橋側道橋","(ﾁﾉﾀﾞｲﾖﾝﾊﾞｼｿｸﾄﾞｳｷｮｳ)","県道払沢茅野線","都道府県道","1970",,"1970","橋","3.8","1","1.9","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（合成）","鋼橋","桁橋(I桁(合成))","その他（橋台）","直接基礎",,"都道府県","長野県","諏訪建設事務所","長野県","諏訪市","35.98472","138.16083","無し","上り線","二次","×",,"無し","有","一般道",,,,"2024","202502","Ⅱ","197 払沢茅野線_茅野第４橋 (1).xlsx，197 払沢茅野線_茅野第4橋側道橋.xlsx","14 197 払沢茅野線_0270 茅野第4橋側道橋.xlsx","地覆部にひびわれが見られるが機能低下に至るほどの損傷では無く､また前回点検時からの変化もない。

主桁の広範囲に剥離､鉄筋露出が見られるが､前回点検時から大きな変化はない。(漏水、浸透水による剥離）

以上から健全度判定はⅡとした。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"未実施",,,,,,,,,,,,,,,,,,,,,,,,,,
"35.94361,138.45111","BR0-200000-00006",,,,"新大門川橋","(ｼﾝﾀﾞｲﾓﾝｶﾜﾊﾞｼ)","国道141号","一般国道（指定区間外）","1985",,,,"50.0","1","12.0","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（合成）","鋼橋","桁橋(I桁(合成))","控え壁式橋台","その他",,"都道府県","長野県","佐久建設事務所","長野県","南牧村","35.94361","138.45111","無し","上下線","一次","×",,"無し","有","一般道",,,,"2021","202111","Ⅲ",,"021_新大門川橋.xlsx","前回と比べ下部工の剥離などが進行している。早目の対応が望まれる。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S55道示","Ｂ種の橋",,,,,,"1",,,,,,,,,,,,,,,,"竣工図あり","不明",,"液状化の想定されるエリア外の橋梁",,"直橋","未実施",,,"26%以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35.97492,138.48080","BR0-200000-00007",,,,"板橋大橋","(ｲﾀﾊﾞｼｵｵﾊｼ)","国道141号","一般国道（指定区間外）","1972",,,,"119.0","2","9.6","①鋼橋(ボルト又は鋼溶継手)_トラス橋","鋼橋","トラス橋","控え壁式橋台","直接基礎",,"都道府県","長野県","佐久建設事務所","長野県","南牧村","35.97492","138.48080","無し","上下線","一次","×",,"無し","有","一般道",,,,"2020","202006","Ⅲ","国道141号_板橋大橋.xlsx","141 141号_0002 板橋大橋.xlsx","床版ひびわれにつらら状の遊離石灰、舗装表面に特異な損傷が確認される。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針より前","Ｂ種の橋","性能2を満足",,,,,,"1",,,,,,,,,,,"済み",,,,,"不明",,"液状化の想定されるエリア外の橋梁",,,,,,"26%以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.00381,138.51001","BR0-200000-00008",,,,"広瀬原橋","(ﾋﾛｾﾊﾗﾊｼ)","国道141号","一般国道（指定区間外）","1973",,,,"48.0","3","14.1","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（合成）","鋼橋","桁橋(I桁(合成))","逆Ｔ式橋台","直接基礎",,"都道府県","長野県","佐久建設事務所","長野県","南牧村","36.00381","138.51001","無し","上下線","一次","×",,"無し","有","一般道",,,,"2023","202307","Ⅲ","国道141号_広瀬原橋.xlsx","01_広瀬原橋（国提出用）.XLSX","床版下面に遊離石灰を伴うひびわれ、舗装の一部に噴出痕が生じているため、早急に床版防水を施すことが望ましい。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ｂ種の橋","性能2を満足",,,,,"1",,,,,,,,,"済み","済み","済み",,,,,,"不明",,"液状化の想定されるエリア外の橋梁",,,,,,"26%以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.00461,138.50628","BR0-200000-00009",,,,"大久保橋","(ｵｵｸﾎﾞﾊｼ)","国道141号","一般国道（指定区間外）","1973",,,,"80.0","3","12.0","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（非合成）","鋼橋","桁橋(I桁)","逆Ｔ式橋台","直接基礎",,"都道府県","長野県","佐久建設事務所","長野県","南牧村","36.00461","138.50628","無し","上下線","一次","×",,"無し","有","一般道",,,,"2023","202307","Ⅲ","国道141号_大久保橋.xlsx","141 141号_0112 大久保橋.xlsx","翼壁上の高欄が破損しており、車両及び歩行者通行上危険であるため、早急な対応が必要である。【技術者判断】床版下面に錆汁を伴う遊離石灰が生じており『Ⅲ：早期措置段階』であるが、局部的であり、過年度業務からの進行もないため前回と同様『Ⅱ：予防保全段階』とする。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ｂ種の橋","性能2を満足",,,,,"1",,,,,,"済み",,,,"済み","済み",,,,,,"不明",,"液状化の想定されるエリア外の橋梁",,,,,,"26%以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.00592,138.50144","BR0-200000-00010",,,,"海ノ口大橋","(ｳﾐﾉｸﾁｵｵﾊｼ)","国道141号","一般国道（指定区間外）","1973",,,,"90.0","3","8.8","①鋼橋(ボルト又は鋼溶継手)_Ｉ桁（非合成）","鋼橋","桁橋(I桁)","控え壁式橋台","直接基礎",,"都道府県","長野県","佐久建設事務所","長野県","南牧村","36.00592","138.50144","無し","上下線","一次","×",,"無し","有","一般道",,,,"2020","202008","Ⅲ","国道141号_海ノ口大橋.xlsx","141 141号_0113 海ノ口大橋_F001.xlsx，141 141号_0113 海ノ口大橋_F002.xlsx","主桁に防食機能の劣化,床版にひびわれ,遊離石灰,下部工に蜘蛛の巣状のひびわれが見られる。","○",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S46耐震設計指針","Ｂ種の橋","性能3を満足、性能２を満たしていない","未着手","2028",,,"1",,,,,"未対策","不要","未対策","未対策",,,,,,,,,"不明",,"液状化の想定されるエリア外の橋梁",,,,,,"6%以上～26%未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
